Id_day;Period;BE;DE;FR;NL;RAM_0
1;15;-0.15714;-0.06984;-0.19428;0;350.1432
1;15;-0.12819;0.02116;-0.06385;-0.1951;592.3902
1;15;0;-0.07787;-0.20148;0;311.9751
1;15;-0.16295;-0.10444;-0.18388;0;349.8012
1;15;-0.1748;-0.10416;-0.1812;0;349.8768
1;15;0.06395;0.01247;-0.02647;0.03893;129.8558
1;15;-0.23337;0.0182;-0.08166;-0.23896;722.4332
1;15;0.06644;-0.00467;0.03878;0.21445;468.8376
1;15;-0.24164;0.02268;-0.10297;0.0563;903.9226
1;15;-0.06799;-0.07412;-0.21385;0;349.9876
1;15;-0.23209;0.01551;-0.09049;-0.22817;695.7936
1;15;-0.05255;-0.09443;-0.18495;0;311.5039
1;15;0;-1;0;0;4400
1;15;-0.06343;0.00278;-0.01119;0.05071;281.0589
1;15;-0.00614;-0.08148;-0.22629;0;350.0004
1;15;-0.00416;-0.10297;-0.22113;0;350.1981
1;15;0.02245;-0.00162;0.01307;0.12325;266.2851
1;15;-0.13146;0.02054;-0.06813;-0.19526;575.266
1;15;0.16762;-0.02012;0.09504;-0.1772;1276.4116
1;15;-0.08594;-0.00581;0.01719;-0.03748;408.5509
1;15;-0.00581;-0.10354;-0.2206;0;350.0442
1;15;-0.1004;0.01202;-0.05339;0.36729;971.0771
1;15;0;-0.07213;-0.16096;0;252.5249
1;15;-0.00417;-0.08175;-0.22667;0;349.9275
1;15;0.14532;-0.01801;0.08498;-0.17432;1211.2037
1;15;0.05939;0.01317;-0.04335;0.03724;147.5011
1;15;0.07828;0.01299;-0.06841;0.0481;210.5203
1;15;0;0;1;0;4001
1;15;0.05272;0.01358;-0.04349;0.03419;138.4353
1;16;0.01697;-0.0574;-0.13663;0;231.502
1;16;0;-1;0;0;4400
1;16;0;-0.08271;-0.22402;0;344.6683
1;16;0.06397;0.01246;-0.02645;0.03846;129.98
1;16;0.06655;-0.00484;0.03887;0.22889;499.8929
1;16;-0.24146;0.02261;-0.10288;0.05699;878.7174
1;16;0.00294;-0.06797;-0.14515;0;231.6481
1;16;-0.23169;0.01473;-0.09;-0.22191;704.8928
1;16;0.0594;0.01316;-0.04328;0.03682;146.6118
1;16;-0.00597;-0.07146;-0.1986;0;306.7058
1;16;-0.23335;0.0179;-0.08145;-0.23283;727.6971
1;16;-0.1546;-0.09199;-0.15874;0;307.1627
1;16;-0.13149;0.02091;-0.06821;-0.19072;569.1401
1;16;-0.08598;-0.0058;0.01716;-0.03696;414.4132
1;16;0;-0.07475;-0.15898;0;250.8175
1;16;-0.06334;0.0028;-0.01118;0.04909;264.5017
1;16;0.02249;-0.00168;0.0131;0.13683;293.6023
1;16;-0.05057;-0.09411;-0.18233;0;306.5903
1;16;-0.13973;-0.06042;-0.17044;0;306.6866
1;16;-0.12848;0.0217;-0.0641;-0.19084;585.3858
1;16;-0.0587;-0.06417;-0.18827;0;306.6741
1;16;-0.15754;-0.09092;-0.15833;0;307.4516
1;16;0;0;1;0;4001
1;16;0.16743;-0.02016;0.09494;-0.1727;1351.1858
1;16;0.05274;0.01357;-0.04343;0.03385;137.5244
1;16;-0.10051;0.01229;-0.05349;0.35607;948.1794
1;17;0.02301;-0.05514;-0.13232;0;232.1122
1;17;0.096;0.31795;0.19094;0;794.8465
1;17;-1;0;0;0;4500
1;17;-0.02271;0.2765;0.11976;0;795.655
1;17;-0.06716;0.2329;0.11267;0;795.883
1;17;-0.00835;-0.07136;-0.19924;0;308.7328
1;17;0.0522;0.01347;-0.0443;0.03353;137.5838
1;17;-0.15409;-0.05696;-0.16917;0;308.6208
1;17;0;0.27921;0.18853;0;796.3867
1;17;0;-0.05597;-0.15061;0;231.8881
1;17;-0.09675;0.01692;-0.05409;-0.15183;427.5625
1;17;0.00949;-0.06625;-0.14028;0;232.1125
1;17;0.0975;0.31866;0.19064;0;795.0382
1;17;-0.06722;-0.07205;-0.21243;0;346.5465
1;17;0.06484;-0.00459;0.03796;0.21895;477.6442
1;17;0;-0.07561;-0.15869;0;250.5853
1;17;0.01944;0.2818;0.20525;0;795.086
1;17;-0.06333;0.00278;-0.01116;0.05002;259.2452
1;17;0;-1;0;0;4400
1;17;-0.17816;-0.1046;-0.17816;0;346.758
1;17;-0.09853;0.01198;-0.05247;0.364;959.9546
1;17;0.01025;-0.07155;-0.1515;0;250.6815
1;17;-0.24384;0.02263;-0.10418;0.0543;759.4491
1;17;0.06338;0.01239;-0.02742;0.03817;131.0394
1;17;0.16841;-0.02007;0.0956;-0.1742;1417.6151
1;17;0.0219;-0.00159;0.01279;0.1283;275.9297
1;17;-0.16029;-0.08541;-0.16029;0;308.9393
1;17;0;0.2936;0.13905;0;795.272
1;17;0.09788;0.3203;0.1857;0;795.481
1;17;0;0.29401;0.13924;0;796.3827
1;17;0;0;1;0;4001
1;17;0.07749;0.01291;-0.0691;0.04713;209.7606
1;17;0.10003;0.31987;0.19012;0;795.3649
1;17;-0.26528;0.02022;-0.097;-0.26451;795.8771
1;17;-0.05172;-0.09431;-0.18318;0;308.5363
1;18;-0.1036;0.01142;-0.05343;0.3475;938.2584
1;18;0;-0.05362;-0.14561;0;223.5226
1;18;0.17185;-0.01704;0.09442;-0.16445;1266.8007
1;18;-1;0;0;0;4500
1;18;-0.06331;-0.06849;-0.20409;0;331.5077
1;18;-0.14913;-0.06458;-0.18519;0;331.5634
1;18;-0.00084;-0.09682;-0.21118;0;331.8586
1;18;0;0;1;0;4001
1;18;-0.24649;0.0184;-0.1022;0.04642;892.4346
1;18;-0.05443;-0.09957;-0.19803;0;332.1161
1;18;0.14962;-0.01533;0.08459;-0.16229;1199.6792
1;18;0;-1;0;0;4400
1;18;-0.00411;-0.0756;-0.21597;0;331.588
1;18;-0.16121;-0.09636;-0.17407;0;331.9828
1;18;-0.15198;-0.09705;-0.17604;0;331.7965
1;18;0.07022;-0.00445;0.04093;0.21022;460.0391
1;18;-0.24626;0.01174;-0.08365;-0.24143;724.3559
1;18;-0.06432;0.00237;-0.01125;0.04784;289.7231
1;18;0.06165;0.01164;-0.02893;0.03592;154.4444
1;18;-0.00221;-0.07587;-0.21634;0;331.5151
1;18;-0.15159;0.02286;-0.07083;-0.24203;736.5203
1;18;-0.08324;-0.00434;0.0171;-0.03319;416.7895
1;18;0.05578;0.01322;-0.03884;0.03445;135.2679
1;18;0;-0.06467;-0.14272;0;223.5391
1;18;0.06244;0.01249;-0.03713;0.03702;143.3769
1;18;0.1036;-0.01142;0.05343;-0.3475;1944.7416
1;19;-0.24613;0.01189;-0.08337;-0.23842;722.5837
1;19;0.07041;-0.00427;0.04101;0.21542;470.6837
1;19;0.05575;0.01321;-0.03952;0.03425;136.3192
1;19;0.1497;-0.01527;0.08452;-0.16014;1192.1149
1;19;-0.06238;-0.06764;-0.20311;0;329.7372
1;19;-0.15169;0.02277;-0.07076;-0.24128;774.2935
1;19;0.00079;-0.05722;-0.15619;0;240.5506
1;19;-0.05349;-0.09873;-0.19705;0;330.3429
1;19;-0.00142;-0.07504;-0.21533;0;329.7392
1;19;0.17194;-0.01697;0.09434;-0.16236;1260.2553
1;19;-0.14761;-0.06409;-0.18425;0;329.6957
1;19;0;-0.05654;-0.157;0;240.7342
1;19;-0.00055;-0.09573;-0.21012;0;330.1529
1;19;0.0058;-0.0626;-0.15076;0;241.098
1;19;-0.24656;0.01835;-0.10203;0.04674;896.3347
1;19;-0.10374;0.01129;-0.05345;0.34237;926.6084
1;19;-0.15026;-0.09588;-0.17533;0;330.1124
1;19;0.06241;0.01248;-0.0378;0.03678;153.439
1;19;0;0;1;0;4001
1;19;-0.15879;-0.0951;-0.17355;0;330.323
1;19;0;-1;0;0;4400
1;19;0.10374;-0.01129;0.05345;-0.34237;1859.3916
1;19;-0.00338;-0.07478;-0.21494;0;329.8094
1;19;0;-0.09512;-0.21041;0;330.3176
1;19;-0.06434;0.00235;-0.01123;0.04709;291.9202
1;19;-0.08321;-0.00432;0.01705;-0.03293;409.7247
1;19;-1;0;0;0;4500
1;20;0.17215;-0.01688;0.0946;-0.16221;1210.2391
1;20;-0.10383;0.01125;-0.05358;0.3423;926.6165
1;20;-0.24635;0.01178;-0.08363;-0.23859;722.5999
1;20;0;-0.08703;-0.21264;0;330.5019
1;20;0;0;1;0;4001
1;20;-0.13963;-0.08437;-0.15498;0;294.2201
1;20;0;-1;0;0;4400
1;20;0.07047;-0.00425;0.0411;0.21547;470.6756
1;20;-0.0014;-0.06623;-0.19181;0;294.1179
1;20;-0.12616;-0.05809;-0.16498;0;294.3157
1;20;-0.05556;-0.06012;-0.18083;0;293.7676
1;20;-0.05356;-0.08675;-0.17434;0;293.5775
1;20;-0.24678;0.01825;-0.10231;0.04658;962.3509
1;20;0;-0.06646;-0.19207;0;294.0558
1;20;-0.15184;0.02271;-0.07095;-0.24139;807.307
1;20;0.10383;-0.01125;0.05358;-0.3423;1867.3835
1;20;-1.00E-05;-0.07746;-0.1892;0;294.0858
1;20;-0.06436;0.00234;-0.01125;0.04707;297.9229
1;20;-0.00561;-0.09376;-0.20958;0;330.6848
1;20;0.14989;-0.01519;0.08476;-0.16;1148.0987
1;20;0.00308;-0.05199;-0.14317;0;223.9627
1;20;-0.08319;-0.00431;0.01709;-0.03291;386.722
1;20;0.05549;0.01309;-0.04007;0.03405;149.3408
1;21;-1;0;0;0;4500
1;21;-0.11169;-0.30071;-0.18901;-0.44353;1136.5614
1;21;0;-1;0;0;4400
1;21;0.00766;0.26579;0.1701;0.01923;733.5712
1;21;-0.00086;-0.07346;-0.21472;0;329.1658
1;21;-0.06124;-0.06706;-0.20237;0;328.8938
1;21;-0.00596;-0.08066;-0.03531;0.14614;485.764
1;21;6.00E-04;-0.04993;-0.14558;0;223.5189
1;21;-0.02039;-0.13546;-0.07058;-0.46006;1799.642
1;21;-0.05912;-0.09576;-0.19536;0;329.1448
1;21;-0.03308;0.04581;0.06708;0.0175;385.6437
1;21;-0.00661;-0.09223;-0.20847;0;329.0979
1;21;-0.0233;0.24171;0.121;0.2706;1026.1997
1;21;0.02039;0.13546;0.07058;0.46006;974.358
1;21;-0.15117;-0.09295;-0.17473;0;328.9035
1;21;0;-0.05402;-0.15762;0;241.4146
1;21;-0.13363;-0.066;-0.18584;0;329.18
1;21;0.03308;-0.04581;-0.06708;-0.0175;369.3563
1;21;0;-0.05673;-0.14429;0;223.6829
1;21;0.00958;0.18411;0.09036;-0.07815;857.8102
