"Date" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34"
2018-03-01 5 7 7 7 7 5 7 7 5 7 6 6 6 5 6 7 7 5 5 7 6 7 7 7 6 6 5 5 7 5 6 7 7 5
2018-03-02 7 6 6 6 7 7 7 7 7 7 6 7 7 7 6 7 5 5 5 5 6 5 7 7 7 7 6 5 6 6 6 6 6 5
2018-03-03 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-03-04 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-03-05 6 5 7 6 7 6 7 7 5 7 6 6 7 7 6 6 6 7 7 6 5 6 7 5 6 7 6 7 5 6 7 6 7 6
2018-03-06 7 7 6 6 7 5 7 7 7 7 7 5 5 6 5 6 7 6 7 5 7 7 6 7 7 7 6 7 7 5 6 7 7 6
2018-03-07 7 7 7 7 5 7 7 6 5 5 7 6 5 7 5 7 5 6 7 5 7 5 5 5 6 5 7 6 7 6 6 7 5 7
2018-03-08 6 7 7 7 7 5 6 7 6 5 5 6 5 7 7 7 7 6 7 7 5 6 6 6 7 7 7 6 6 5 6 5 7 6
2018-03-09 5 7 6 7 6 6 7 6 5 7 7 6 7 7 5 7 7 5 7 7 7 7 5 5 5 7 6 7 6 5 5 7 6 7
2018-03-10 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-03-11 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-03-12 7 7 7 7 6 7 6 6 7 6 7 5 6 6 6 7 7 7 7 7 7 5 6 7 7 5 5 7 5 5 7 7 7 5
2018-03-13 7 6 6 7 5 7 7 6 7 7 7 5 7 7 6 7 6 5 6 7 5 7 6 7 7 7 5 6 6 6 6 6 7 7
2018-03-14 7 7 5 5 7 7 6 7 7 6 5 7 6 6 6 7 7 7 7 7 5 7 6 7 6 6 5 7 7 7 7 6 5 7
2018-03-15 7 7 5 7 6 7 5 7 7 7 7 7 7 6 5 7 7 7 7 6 7 6 6 7 6 6 7 5 6 7 5 6 7 6
2018-03-16 9 9 9 9 9 9 9 9 11 9 9 9 9 9 9 10 9 9 9 9 11 9 11 11 9 9 9 9 9 9 9 9 9 9
2018-03-17 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-03-18 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-03-19 9 11 9 9 9 9 10 9 11 11 11 11 9 9 9 11 11 9 9 9 11 9 9 9 9 9 9 9 9 9 9 9 11 9
2018-03-20 9 9 9 9 9 9 11 9 9 11 11 11 9 9 9 9 9 9 9 9 11 9 9 10 9 9 9 9 11 9 9 9 11 9
2018-03-21 9 11 9 9 9 9 11 9 11 9 9 9 9 9 9 9 9 9 9 9 9 9 11 11 9 9 9 9 9 9 9 9 9 9
2018-03-22 9 9 9 9 9 9 9 9 11 9 9 9 9 9 11 9 9 9 9 11 9 9 9 11 9 9 9 9 9 9 10 9 9 9
2018-03-23 9 9 9 9 9 9 11 9 11 10 9 11 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
2018-03-24 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-03-25 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-03-26 9 9 9 11 9 11 11 11 9 11 9 9 11 9 10 9 9 9 9 11 9 9 9 10 9 9 9 9 9 9 11 9 9 9
2018-03-27 9 9 9 9 9 9 9 11 9 11 9 9 9 9 9 11 11 9 9 11 9 10 9 11 10 9 9 9 11 9 11 9 9 9
2018-03-28 10 9 9 9 11 11 9 9 9 10 9 9 11 9 9 9 10 9 9 11 9 10 9 9 9 9 9 9 9 10 11 9 9 9
2018-03-29 9 9 9 9 11 9 9 10 9 9 9 9 11 9 9 9 11 9 9 9 9 10 9 9 9 9 9 9 9 9 9 9 9 11
2018-03-30 9 9 9 9 9 9 9 9 9 9 9 9 11 9 9 11 11 9 9 10 10 9 10 11 9 9 11 9 11 10 9 9 9 9
2018-03-31 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-01 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-02 9 9 9 10 9 9 9 9 11 11 9 9 9 11 9 9 11 11 9 11 11 9 11 11 9 10 11 11 11 11 11 9 9 9
2018-04-03 9 9 9 11 9 9 9 11 9 11 9 9 9 11 9 11 9 10 9 11 11 9 11 9 11 11 11 11 9 9 11 9 11 9
2018-04-04 9 9 9 9 9 9 9 9 9 11 9 9 9 11 9 11 11 9 9 11 11 9 11 11 11 9 9 9 9 11 9 9 11 9
2018-04-05 11 9 9 11 9 11 9 9 9 9 9 9 9 9 9 11 11 11 9 11 11 11 9 9 11 9 9 9 11 11 11 9 9 9
2018-04-06 11 9 9 9 9 11 10 9 9 11 9 9 9 9 9 11 11 10 9 9 10 11 9 11 9 9 9 10 9 11 9 9 9 9
2018-04-07 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-08 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-09 9 10 10 10 9 11 10 10 9 11 10 11 9 11 10 10 10 11 10 10 9 9 9 11 9 11 11 10 11 9 11 11 9 11
2018-04-10 9 10 9 9 9 10 11 11 9 10 9 11 9 9 10 9 9 11 9 9 11 9 9 11 9 11 9 9 11 10 9 9 10 10
2018-04-11 9 9 9 9 9 11 11 11 9 9 10 11 9 9 10 11 9 11 9 9 9 9 9 10 9 9 9 9 11 10 11 9 9 11
2018-04-12 9 9 9 9 9 9 11 9 10 9 10 9 9 10 11 11 9 9 9 11 11 9 9 10 9 10 9 9 11 9 9 11 9 11
2018-04-13 9 9 9 11 9 10 9 11 10 10 10 11 9 11 11 10 9 9 9 11 9 9 10 10 11 9 11 11 11 11 10 11 11 9
2018-04-14 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-15 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
