mcYear;timeId;link;time;day;month;hour;FLOW LIN.
181;4699;de - nl;2018-01-12T18:00:00Z;12;JAN;18:00;1143
224;4668;be - de;2018-01-11T11:00:00Z;11;JAN;11:00;0
224;4668;be - fr;2018-01-11T11:00:00Z;11;JAN;11:00;0
224;4668;be - nl;2018-01-11T11:00:00Z;11;JAN;11:00;0
224;4668;de - fr;2018-01-11T11:00:00Z;11;JAN;11:00;3050
224;4668;de - nl;2018-01-11T11:00:00Z;11;JAN;11:00;1105
360;4646;be - de;2018-01-10T13:00:00Z;10;JAN;13:00;0
360;4646;be - fr;2018-01-10T13:00:00Z;10;JAN;13:00;-890
360;4646;be - nl;2018-01-10T13:00:00Z;10;JAN;13:00;0
360;4646;de - fr;2018-01-10T13:00:00Z;10;JAN;13:00;5025
360;4646;de - nl;2018-01-10T13:00:00Z;10;JAN;13:00;-476
381;4003;be - de;2017-12-14T18:00:00Z;14;DEC;18:00;0
381;4003;be - fr;2017-12-14T18:00:00Z;14;DEC;18:00;-131
381;4003;be - nl;2017-12-14T18:00:00Z;14;DEC;18:00;0
381;4003;de - fr;2017-12-14T18:00:00Z;14;DEC;18:00;1231
381;4003;de - nl;2017-12-14T18:00:00Z;14;DEC;18:00;1799
383;4193;be - de;2017-12-22T16:00:00Z;22;DEC;16:00;0
383;4193;be - fr;2017-12-22T16:00:00Z;22;DEC;16:00;-2750
383;4193;be - nl;2017-12-22T16:00:00Z;22;DEC;16:00;3544
383;4193;de - fr;2017-12-22T16:00:00Z;22;DEC;16:00;-965
383;4193;de - nl;2017-12-22T16:00:00Z;22;DEC;16:00;0
387;4987;be - de;2018-01-24T18:00:00Z;24;JAN;18:00;0
387;4987;be - fr;2018-01-24T18:00:00Z;24;JAN;18:00;-207
387;4987;be - nl;2018-01-24T18:00:00Z;24;JAN;18:00;0
387;4987;de - fr;2018-01-24T18:00:00Z;24;JAN;18:00;-4749
387;4987;de - nl;2018-01-24T18:00:00Z;24;JAN;18:00;3261
406;4458;be - de;2018-01-02T17:00:00Z;2;JAN;17:00;0
406;4458;be - fr;2018-01-02T17:00:00Z;2;JAN;17:00;1237
406;4458;be - nl;2018-01-02T17:00:00Z;2;JAN;17:00;0
406;4458;de - fr;2018-01-02T17:00:00Z;2;JAN;17:00;0
406;4458;de - nl;2018-01-02T17:00:00Z;2;JAN;17:00;3588
600;4815;be - de;2018-01-17T14:00:00Z;17;JAN;14:00;0
600;4815;be - fr;2018-01-17T14:00:00Z;17;JAN;14:00;-750
600;4815;be - nl;2018-01-17T14:00:00Z;17;JAN;14:00;0
600;4815;de - fr;2018-01-17T14:00:00Z;17;JAN;14:00;4426
600;4815;de - nl;2018-01-17T14:00:00Z;17;JAN;14:00;-4
769;4674;be - de;2017-12-07T17:00:00Z;7;DEC;17:00;0
769;4675;be - de;2017-12-11T17:00:00Z;11;DEC;17:00;0
769;4674;be - fr;2017-12-07T17:00:00Z;7;DEC;17:00;0
769;4675;be - fr;2017-12-11T17:00:00Z;11;DEC;17:00;0
769;4674;be - nl;2017-12-07T17:00:00Z;7;DEC;17:00;0
769;4675;be - nl;2017-12-11T17:00:00Z;11;DEC;17:00;0
769;4674;de - fr;2017-12-07T17:00:00Z;7;DEC;17:00;0
769;4675;de - fr;2017-12-11T17:00:00Z;11;DEC;17:00;0
769;4674;de - nl;2017-12-07T17:00:00Z;7;DEC;17:00;0
769;4675;de - nl;2017-12-11T17:00:00Z;11;DEC;17:00;0
