"mcYear";"timeId";"link";"time";"day";"month";"hour";"FLOW LIN."
383;4193;"be - nl";"2017-12-22 16:00:00";22;"DEC";"16:00";3544
383;4193;"de - fr";"2017-12-22 16:00:00";22;"DEC";"16:00";-965
383;4193;"de - nl";"2017-12-22 16:00:00";22;"DEC";"16:00";0
387;4987;"be - de";"2018-01-24 18:00:00";24;"JAN";"18:00";0
387;4987;"be - fr";"2018-01-24 18:00:00";24;"JAN";"18:00";-207
387;4987;"be - nl";"2018-01-24 18:00:00";24;"JAN";"18:00";0
387;4987;"de - fr";"2018-01-24 18:00:00";24;"JAN";"18:00";-4749
387;4987;"de - nl";"2018-01-24 18:00:00";24;"JAN";"18:00";3261
406;4458;"be - de";"2018-01-02 17:00:00";2;"JAN";"17:00";0
406;4458;"be - fr";"2018-01-02 17:00:00";2;"JAN";"17:00";1237
406;4458;"be - nl";"2018-01-02 17:00:00";2;"JAN";"17:00";0
406;4458;"de - fr";"2018-01-02 17:00:00";2;"JAN";"17:00";0
406;4458;"de - nl";"2018-01-02 17:00:00";2;"JAN";"17:00";3588
589;3930;"be - de";"2017-12-11 17:00:00";11;"DEC";"17:00";0
589;3930;"be - fr";"2017-12-11 17:00:00";11;"DEC";"17:00";0
589;3930;"be - nl";"2017-12-11 17:00:00";11;"DEC";"17:00";0
589;3930;"de - fr";"2017-12-11 17:00:00";11;"DEC";"17:00";0
589;3930;"de - nl";"2017-12-11 17:00:00";11;"DEC";"17:00";0
600;4815;"be - de";"2018-01-17 14:00:00";17;"JAN";"14:00";0
600;4815;"be - fr";"2018-01-17 14:00:00";17;"JAN";"14:00";-750
600;4815;"be - nl";"2018-01-17 14:00:00";17;"JAN";"14:00";0
600;4815;"de - fr";"2018-01-17 14:00:00";17;"JAN";"14:00";4426
600;4815;"de - nl";"2018-01-17 14:00:00";17;"JAN";"14:00";-4
