"Period" "BE" "DE" "FR" "NL" "RAM_0" "Row" "Num_date"
9 0.01834 0.11426 0.05745 0.37093 715.36088 199 20151210
9 -0.27283 -0.11329 -0.18259 0 560.68696 236 20151210
9 -0.00296 0.04992 -0.00835 0.05311 104.94984 262 20151210
9 -0.0052 -0.06072 -0.05617 0.01354 152.43208 333 20151210
9 -0.00258 0.04814 -0.00685 0.04824 94.12024 347 20151210
9 -0.00327 0.05099 -0.01214 0.05759 120.44032 393 20151210
9 0 -1 0 0 4400 417 20151210
9 -0.00407 -0.03793 -0.04278 0.01629 116.99152 447 20151210
9 0.00829 -0.05965 0.00454 -0.04235 273.18672 473 20151210
9 -0.00212 -0.00286 -0.01968 0.01845 71.83144 477 20151210
9 -0.27855 -0.10975 -0.20113 0 560.8 478 20151210
9 -0.00396 -0.04746 -0.04465 0.01117 120.04096 482 20151210
9 -0.00316 -0.02694 -0.01237 0.10378 278.38368 504 20151210
9 0.0097 -0.04146 -0.08772 -0.02138 210.68544 515 20151210
9 0.00457 0.08483 0.03398 -0.03038 282.2328 547 20151210
9 0.00346 0.07709 0.02922 -0.00161 201.69756 557 20151210
9 0.04465 -0.04912 -0.06787 -0.02352 225.39276 626 20151210
9 0 0 1 0 5301 629 20151210
9 -0.00254 0.04898 -0.00647 0.04875 94.21848 631 20151210
9 -0.27063 -0.1026 -0.16867 0 561.04796 640 20151210
9 -0.0032 0.06003 -0.01188 0.05621 124.42972 652 20151210
10 -0.00435 -0.06347 -0.05419 0.00859 151.48608 6 20151210
10 0.0063 0.07444 0.03309 -0.16892 608.43936 13 20151210
10 -0.0027 0.0597 -0.00409 0.056 111.2556 32 20151210
10 -1 0 0 0 4500 43 20151210
10 -0.00187 0.03978 -0.00384 0.03596 77.11276 56 20151210
10 -0.28163 -0.11786 -0.21275 0 564.12436 93 20151210
10 0.00971 -0.04149 -0.088 -0.02127 208.64184 121 20151210
10 0.00361 0.0746 0.02888 -0.00806 208.69156 153 20151210
10 0.00459 0.08518 0.03422 -0.031 284.32292 174 20151210
10 0.00495 0.09393 0.04177 -0.01451 276.25048 196 20151210
10 0 -1 0 0 4400 207 20151210
10 -0.27395 -0.11527 -0.18373 0 563.5448 224 20151210
10 -0.00397 -0.04749 -0.04468 0.01151 120.01976 238 20151210
10 0.01834 0.11421 0.0575 0.37339 720.2438 248 20151210
10 -0.00259 0.04786 -0.00693 0.04754 93.11796 253 20151210
10 -0.00446 -0.04665 -0.04829 0.01652 128.51436 299 20151210
10 -0.00328 0.0627 -0.01226 0.05678 130.63752 317 20151210
10 0.00601 0.07694 0.03433 -0.12185 492.62868 345 20151210
10 -0.00316 -0.02698 -0.01238 0.10132 273.49656 361 20151210
10 0.04465 -0.04914 -0.06784 -0.02335 211.3862 383 20151210
10 0.02036 -0.14696 0.07875 -0.10804 852.438 405 20151210
10 -0.27422 -0.10203 -0.17726 0 563.69164 410 20151210
10 -0.27938 -0.107 -0.19857 0 563.52496 415 20151210
10 -0.27114 -0.10146 -0.16589 0 563.58328 425 20151210
10 -0.00212 -0.0029 -0.0197 0.01835 70.82984 429 20151210
10 0.12095 -0.17797 -0.09631 -0.21368 1218.09904 455 20151210
10 0 0 1 0 5301 498 20151210
10 -0.00269 0.04661 -0.00779 0.04913 96.83064 503 20151210
10 -0.00321 0.05968 -0.01201 0.05542 124.41876 593 20151210
10 -0.00311 0.06207 -0.00673 0.06157 116.97896 623 20151210
10 -0.27739 -0.12203 -0.19988 0 563.52248 638 20151210
10 0.00348 0.07756 0.02949 -0.00259 205.82056 641 20151210
11 0.02036 -0.14697 0.07868 -0.10844 905.4478 14 20151210
11 0.04465 -0.04914 -0.06782 -0.02352 217.39676 51 20151210
11 -0.00271 0.01989 -0.01618 0.03827 97.67656 64 20151210
11 -0.00212 -0.00292 -0.01969 0.01846 71.82376 68 20151210
11 0 -1 0 0 4400 86 20151210
11 -0.00258 0.04818 -0.0068 0.04819 94.13264 165 20151210
11 0.00601 0.07691 0.03433 -0.12405 455.73128 170 20151210
11 -0.00253 0.04902 -0.00642 0.0487 94.22916 181 20151210
11 0.0036 0.07423 0.02872 -0.00695 205.5838 192 20151210
11 -0.00269 0.05997 -0.00398 0.05687 111.25232 195 20151210
11 -0.00186 0.03997 -0.00376 0.03648 77.11468 210 20151210
11 -0.27292 -0.09944 -0.17514 0 560.98144 226 20151210
11 -0.26975 -0.09975 -0.16392 0 560.7516 263 20151210
11 0.00494 0.09351 0.04159 -0.01345 272.13772 269 20151210
11 -0.00397 -0.04082 -0.04277 0.01421 113.78636 274 20151210
11 0.01834 0.11421 0.05751 0.37091 715.36404 301 20151210
11 0.12095 -0.17798 -0.09634 -0.21368 1266.09444 321 20151210
11 -0.0052 -0.06078 -0.0562 0.01356 152.42152 340 20151210
11 -0.2808 -0.11785 -0.21376 0 560.8614 353 20151210
11 -0.00316 -0.02694 -0.01237 0.10377 278.38416 364 20151210
11 -0.00446 -0.04668 -0.04829 0.01625 128.52432 370 20151210
11 -1 0 0 0 4500 373 20151210
11 0.00629 0.07432 0.03305 -0.17267 552.60428 384 20151210
11 -0.0031 0.06232 -0.00661 0.06251 116.97152 389 20151210
11 0.00449 0.08804 0.03718 -0.01278 255.10676 392 20151210
11 0 0 1 0 5301 399 20151210
11 -0.00407 -0.03799 -0.04281 0.0163 116.98144 407 20151210
11 -0.00327 0.05106 -0.0121 0.05753 120.455 416 20151210
11 -0.27788 -0.10358 -0.19526 0 561.00616 501 20151210
11 -0.00397 -0.04752 -0.04468 0.01119 120.03212 514 20151210
11 0.00346 0.077 0.02927 -0.00162 201.69504 520 20151210
11 -0.00435 -0.06348 -0.05418 0.00812 149.50884 524 20151210
11 -0.00319 0.06006 -0.01184 0.05616 124.4382 565 20151210
11 -0.27267 -0.11403 -0.18241 0 560.60704 596 20151210
11 -0.00327 0.06309 -0.0121 0.05753 130.658 609 20151210
11 -0.27622 -0.12088 -0.199 0 560.54184 651 20151210
12 -0.00271 0.01991 -0.01618 0.03827 97.67856 17 20151210
12 0 -1 0 0 4400 40 20151210
12 -0.00316 -0.02692 -0.01236 0.10377 278.38736 49 20151210
12 0.00458 0.08469 0.03403 -0.0304 282.22404 81 20151210
12 -0.00327 0.06309 -0.0121 0.05753 130.658 173 20151210
12 -0.00435 -0.06334 -0.05417 0.00812 148.52404 219 20151210
12 -0.00212 -0.00287 -0.01969 0.01846 71.82876 231 20151210
12 -0.00319 0.06005 -0.01184 0.05616 124.4372 233 20151210
12 -0.0031 0.0623 -0.00661 0.06251 116.96952 241 20151210
12 -1 0 0 0 4500 258 20151210
12 0.01834 0.11413 0.05749 0.37091 715.35364 271 20151210
12 0.00449 0.08798 0.03716 -0.01278 255.09836 287 20151210
12 -0.00269 0.05995 -0.00398 0.05687 111.25032 365 20151210
12 -0.27106 -0.10418 -0.17108 0 560.67472 367 20151210
12 0 0 1 0 5301 401 20151210
12 0.00971 -0.04158 -0.0882 -0.0214 246.61508 445 20151210
12 -0.00407 -0.03791 -0.04279 0.0163 116.99184 485 20151210
12 0.00494 0.09345 0.04158 -0.01345 272.13052 531 20151210
12 0.02036 -0.14645 0.07867 -0.10844 899.4986 532 20151210
12 0.0036 0.07418 0.02871 -0.00695 205.5776 550 20151210
12 -0.00327 0.05106 -0.0121 0.05753 120.455 577 20151210
12 0.00629 0.07427 0.03304 -0.17267 593.59808 592 20151210
12 -0.00397 -0.04743 -0.04467 0.01119 119.04232 595 20151210
12 -0.27489 -0.11673 -0.19187 0 560.58368 632 20151210
12 -0.00446 -0.04658 -0.04828 0.01625 128.53552 643 20151210
12 -0.00397 -0.04074 -0.04275 0.01421 113.79676 646 20151210
12 0.00346 0.07695 0.02926 -0.00162 201.68884 647 20151210
12 -0.2793 -0.11357 -0.20593 0 560.971 648 20151210
12 0.04465 -0.04918 -0.0678 -0.02352 234.39516 655 20151210
12 0.12095 -0.17784 -0.09631 -0.21368 1252.11204 658 20151210
12 -0.27846 -0.10936 -0.20056 0 560.89192 659 20151210
13 -0.00327 0.05095 -0.01211 0.05545 115.54264 28 20151210
13 -0.00316 -0.02695 -0.01235 0.09856 266.63564 88 20151210
13 -0.0032 0.05999 -0.01185 0.05412 124.52964 100 20151210
13 0 0 0 -1 4250 140 20151210
13 0.04465 -0.04914 -0.06783 -0.02304 244.37252 144 20151210
13 0.01235 0.07284 0.04606 0.11711 219.06572 147 20151210
13 0.02036 -0.14696 0.07895 -0.10694 958.4092 161 20151210
13 -1 0 0 0 4500 182 20151210
13 -0.00269 0.05993 -0.004 0.05462 112.35392 205 20151210
13 -0.00327 0.06298 -0.01211 0.05545 131.74564 223 20151210
13 -0.00396 -0.04747 -0.04459 0.01178 121.01788 235 20151210
13 0.04396 -0.05168 -0.05102 -0.03668 310.90912 251 20151210
13 -0.00445 -0.04662 -0.04819 0.0167 129.519 254 20151210
13 0.00629 0.07433 0.03298 -0.1645 694.20472 264 20151210
13 -0.0031 0.0623 -0.00663 0.06007 118.08424 285 20151210
13 -0.00272 0.04574 -0.00815 0.0476 94.77904 312 20151210
13 0.12095 -0.17798 -0.09617 -0.21239 1293.05292 368 20151210
13 0.00449 0.08807 0.0371 -0.01414 258.16544 402 20151210
13 0.00347 0.07704 0.02921 -0.00332 205.77172 403 20151210
13 0.00494 0.09354 0.04151 -0.0149 277.20072 409 20151210
13 0.00601 0.07692 0.03426 -0.11896 549.47956 442 20151210
13 0.00458 0.08478 0.03396 -0.03077 283.2424 469 20151210
13 0 -1 0 0 4400 494 20151210
13 -0.00264 0.04747 -0.0071 0.04776 93.0566 497 20151210
13 -0.00186 0.03991 -0.00377 0.03507 78.17516 528 20151210
13 0 0 1 0 5301 583 20151210
13 -0.00212 -0.00288 -0.01965 0.01812 70.84888 588 20151210
13 0.0036 0.07425 0.02865 -0.00836 208.64508 606 20151210
13 -0.00397 -0.04079 -0.04269 0.01463 113.7788 607 20151210
13 0.01834 0.11422 0.05741 0.3565 685.04472 634 20151210
13 -0.00435 -0.06343 -0.05406 0.00904 151.48408 639 20151210
13 -0.00285 0.04531 -0.00937 0.04855 98.5664 679 20151210
14 0.0036 0.07424 0.02875 -0.00701 205.59128 29 20151210
14 -0.00268 0.05952 -0.00397 0.05649 110.22504 37 20151210
14 -0.00212 -0.00286 -0.0197 0.01848 71.8276 54 20151210
14 0.00458 0.08477 0.03407 -0.03046 282.23972 61 20151210
14 -0.00446 -0.04655 -0.04828 0.01624 128.539 101 20151210
14 0.04465 -0.04914 -0.06778 -0.02353 250.40204 183 20151210
14 0 0 1 0 5301 204 20151210
14 -0.00308 0.06194 -0.00657 0.06211 116.95408 239 20151210
14 -0.00322 0.06246 -0.01185 0.05678 128.6524 300 20151210
14 0 -1 0 0 4400 323 20151210
14 0.01235 0.07284 0.04613 0.11436 219.20612 331 20151210
14 -0.00318 0.06014 -0.01162 0.05603 124.47712 341 20151210
14 -0.00322 0.05042 -0.01185 0.05678 118.4484 348 20151210
14 -0.00316 -0.02709 -0.01234 0.10378 278.37228 350 20151210
14 -0.00318 0.04811 -0.01162 0.05603 117.27412 358 20151210
14 0.00347 0.07703 0.02931 -0.00169 201.70448 377 20151210
14 0.0063 0.07432 0.03312 -0.17279 700.61672 427 20151210
14 0.00601 0.07691 0.03437 -0.12413 555.73992 437 20151210
14 0.02036 -0.14696 0.07866 -0.10844 892.4464 492 20151210
14 0.00828 -0.05968 0.00443 -0.04236 309.17272 500 20151210
14 0.01835 0.1142 0.05755 0.37083 715.36996 562 20151210
14 -0.00397 -0.04736 -0.04466 0.01123 119.0486 567 20151210
14 -0.00434 -0.0634 -0.05418 0.0081 148.51608 573 20151210
14 -1 0 0 0 4500 610 20151210
14 0.12095 -0.17798 -0.09637 -0.21366 1224.08988 671 20151210
14 -0.00395 -0.04004 -0.04225 0.01423 111.92236 689 20151210
15 0.04465 -0.04914 -0.06779 -0.02376 259.41188 2 20151210
15 -1 0 0 0 4500 19 20151210
15 -0.00397 -0.04074 -0.04274 0.01357 111.82868 55 20151210
15 0.12095 -0.17798 -0.09631 -0.21237 1213.03516 59 20151210
15 -0.00322 0.06246 -0.01185 0.05815 128.58664 67 20151210
15 0.0036 0.07424 0.02873 -0.00468 202.47704 71 20151210
15 0.00828 -0.05968 0.00454 -0.04277 276.2056 112 20151210
15 0 -1 0 0 4400 131 20151210
15 -0.00403 -0.03959 -0.0429 0.01467 113.882 177 20151210
15 0.0063 0.07432 0.0331 -0.17993 758.95704 193 20151210
15 0.00347 0.07703 0.02929 0.00087 196.5792 200 20151210
15 -0.00434 -0.0634 -0.05414 0.00703 146.57224 275 20151210
15 -0.00212 -0.00285 -0.01969 0.01856 71.82596 313 20151210
15 -0.00315 -0.02696 -0.01228 0.10831 287.17332 329 20151210
15 -0.00445 -0.04655 -0.04824 0.01553 126.57616 459 20151210
15 0.02036 -0.14696 0.07881 -0.10861 906.47256 491 20151210
15 0.00458 0.08477 0.03405 -0.029 291.16724 511 20151210
15 -0.00322 0.05042 -0.01185 0.05815 121.38264 549 20151210
15 -0.00308 0.06194 -0.00657 0.06377 137.8744 569 20151210
15 -0.00295 0.04968 -0.00829 0.05417 107.88044 571 20151210
15 -0.00318 0.06014 -0.01162 0.05737 123.4128 576 20151210
15 0 0 1 0 5301 578 20151210
